codigo_fornecedor,classificacao,conta_codigo_reduzido,conta_descricao
1205,4.01.02.02.0026,40102020026,MANUTENÇÃO DA PISCINA
1205,4.01.02.02.0146,40102020146,MANUTENÇÃO DO PORTÃO DA PISCINA
1205,4.01.02.02.0005,40102020005,MANUTENÇÃO EM PORTAS
1546,4.02.03.06.0018,40203060018,REFORMA DA GARAGEM - MÃO DE OBRA
1546,4.02.03.06.0053,40203060053,MANUTENÇÃO DA CAIXA DÁGUA
1546,4.02.03.06.0059,40203060059,SUBSTITUIÇÃO DA MANTA ASFALTICA DO TERRAÇO - MÃO DE OBRA
1546,4.02.03.06.0030,40203060030,REFORMA DA GARAGEM - OUTROS
2937,4.01.04.01.0004,40104010004,TRATAMENTO E LIMPEZA DA PISCINA
1177,4.01.02.02.0119,40102020119,MANUTENÇÃO DA PRUMADA DE ESGOTO
1177,4.01.02.02.0025,40102020025,REPARO NA PRUMADA HIDRAULICA
1177,4.02.03.08.0019,40203080019,VALORES PAGOS A SEREM DEVOLVIDOS
1177,4.02.03.06.0007,40203060007,REPARO DA PRUMADA HIDRÁULICA
1177,4.02.03.06.0079,40203060079,REFORMA DO TELHADO DO CONDOMÍNIO - MATERIAIS
1177,4.02.03.06.0080,40203060080,REFORMA DO TELHADO DO CONDOMÍNIO - OUTROS
1177,4.01.02.02.0124,40102020124,DESENTUPIMENTO DA PRUMADA HIDRAULICA/REDE ESGOTO
1177,4.02.03.08.0032,40203080032,VISTORIA HIDRAULICA EM UNIDADE AUTONOMA
1177,4.02.03.06.0132,40203060132,REFORMA DA CAIXA DE AGUA E IMPERMEABILIZAÇÕES DA CASA DE MÁQUINAS E CAIXA DE GÁS
2414,4.01.02.02.0153,40102020153,MANUTENÇÃO DA CORTINA DA RECEPÇÃO
1345,4.02.01.02.0014,40201020014,AQUISIÇÃO DE CONTROLES REMOTO PARA MORADORES
1345,4.02.03.08.0001,40203080001,AQUISIÇÃO DE TAGS E CONTROLES PARA REPASSE
2020,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
2020,4.01.01.01.0017,40101010017,AUXILIO COMBUSTÍVEL REF. EMPREGADOS
2020,4.01.01.01.0002,40101010002,FÉRIAS
2020,4.01.01.01.0031,40101010031,REPASSE DE EMPRESTIMO CONSIGNADO DE EMPREGADOS (DESCONTADO DO SALÁRIO)
2020,4.02.03.07.0003,40203070003,FÉRIAS
2020,4.02.03.07.0005,40203070005,RESCISÃO DE CONTRATO DE TRABALHO
1658,4.01.02.02.0131,40102020131,RETIRADA DO LIXO RECICLÁVEL
0112,4.01.02.03.0006,40102030006,HONORÁRIOS DE VICE-SÍNDICO(A)
0112,4.01.01.01.0023,40101010023,SUBSTITUIÇÃO DE EMPREGADOS EM FÉRIAS
0112,4.02.03.09.0005,40203090005,SUBSTITUIÇÕES DE EMPREGADOS EM FÉRIAS
1202,4.02.03.08.0006,40203080006,SUBSTITUIÇÃO DE HIDROMETRO
1202,4.02.03.11.0004,40203110004,SUBSTITUIÇÃO DE HIDROMETRO
3081,4.01.02.01.0008,40102010008,CORREIOS E MALOTES
0857,4.01.02.02.0039,40102020039,MATERIAIS PARA MANUTENÇÃO DA PISCINA
0857,4.02.03.11.0015,40203110015,MATERIAIS PARA MANUTENÇÃO DA PISCINA
2149,4.01.01.01.0023,40101010023,SUBSTITUIÇÃO DE EMPREGADOS EM FÉRIAS
2415,4.02.03.06.0090,40203060090,PINTURA DA ACADEMIA - MÃO DE OBRA
2415,4.01.02.02.0124,40102020124,DESENTUPIMENTO DA PRUMADA HIDRAULICA/REDE ESGOTO
2968,4.02.01.02.0054,40201020054,ESTACIONAMENTO
1774,4.01.02.02.0017,40102020017,MANUTENÇÃO DO SISTEMA DE SEGURANÇA
1774,4.01.02.02.0078,40102020078,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
0775,4.01.01.01.0017,40101010017,AUXILIO COMBUSTÍVEL REF. EMPREGADOS
0775,4.01.01.01.0026,40101010026,SUBSTITUIÇÃO DE EMPREGADOS DEVIDO LICENÇA MÉDICA
3319,4.01.02.02.0011,40102020011,MATERIAIS HIDRÁULICOS
1183,4.02.03.09.0007,40203090007,RESCISÃO DE CONTRATO DE TRABALHO
2925,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
2925,4.02.03.07.0001,40203070001,13º SALÁRIOS
2925,4.02.03.07.0003,40203070003,FÉRIAS
